H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H महानिरीक्षक महानिरीक्षक NP NN NP2 nmod NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H किया कर VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H गिरफ्तार गिरफ्तार JJP JJ JJP pof VGF2  ;  U ;  NULL
ROOT  ;  H रेंज रेंज NP NNP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H महानिरीक्षक महानिरीक्षक NP NN NP2 nmod NP3  ;  U ;  NULL
H राजेंद्र राजेंद्र NP NNP NP k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H स्थिति स्थिति NP NN NP2 k1 VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k1 
H नियंत्रण नियंत्रण NP NN NP3 k7 VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k7 
H है है VGF VM VGF2 ccof CCP2 ; H और और CCP CC CCP2 ccof CCP ; R ; ccof 
H कि कि CCP CC CCP k2 VGF ; H और और CCP CC CCP2 ccof CCP ; L ; ccof 
H कर्फ्यू कर्फ्यू NP NN NP4 pof VGF3 ; H लगा लगा VGF VM VGF3 ccof CCP2 ; R ; pof 
H और और CCP CC CCP2 ccof CCP ; H लगा लगा VGF VM VGF3 ccof CCP2 ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H स्थिति स्थिति NP NN NP2 k1 VGF2  ;  H नियंत्रण नियंत्रण NP NN NP3 k7 VGF2  ;  U ;  NULL
H स्थिति स्थिति NP NN NP2 k1 VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H नियंत्रण नियंत्रण NP NN NP3 k7 VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H लगा लगा VGF VM VGF3 ccof CCP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कर्फ्यू कर्फ्यू NP NN NP4 pof VGF3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H राजेंद्र राजेंद्र NP NNP NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H लगा लगा VGF VM VGF3 ccof CCP2  ;  U ;  NULL
ROOT  ;  H कर्फ्यू कर्फ्यू NP NN NP4 pof VGF3  ;  U ;  NULL
ROOT  ;  H राजेंद्र राजेंद्र NP NNP NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H घटना घटना NP NN NP k2 VGNN ; H रोकने रोक VGNN VM VGNN rt VGF ; R ; k2 
H रोकने रोक VGNN VM VGNN rt VGF ; H बुलाया बुला VGF VM VGF NULL ROOT ; R ; rt 
H सेना सेना NP NN NP2 ccof CCP ; H और और CCP CC CCP k2 VGF ; R ; ccof 
H और और CCP CC CCP k2 VGF ; H बुलाया बुला VGF VM VGF NULL ROOT ; R ; k2 
H और और CCP CC CCP k2 VGF ; H आईटीबीपी आईटीबीपी NP NNP NP3 ccof CCP ; L ; ccof 
ROOT ; H बुलाया बुला VGF VM VGF NULL ROOT ; L ; ROOT 
H बुलाया बुला VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H रोकने रोक VGNN VM VGNN rt VGF  ;  H आईटीबीपी आईटीबीपी NP NNP NP3 ccof CCP  ;  U ;  NULL
H रोकने रोक VGNN VM VGNN rt VGF  ;  H सेना सेना NP NN NP2 ccof CCP  ;  U ;  NULL
H आईटीबीपी आईटीबीपी NP NNP NP3 ccof CCP  ;  H बुलाया बुला VGF VM VGF NULL ROOT  ;  U ;  NULL
H सेना सेना NP NN NP2 ccof CCP  ;  H बुलाया बुला VGF VM VGF NULL ROOT  ;  U ;  NULL
H घटना घटना NP NN NP k2 VGNN  ;  H बुलाया बुला VGF VM VGF NULL ROOT  ;  U ;  NULL
H आईटीबीपी आईटीबीपी NP NNP NP3 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H और और CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H घटना घटना NP NN NP k2 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H रोकने रोक VGNN VM VGNN rt VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H आईटीबीपी आईटीबीपी NP NNP NP3 ccof CCP  ;  U ;  NULL
ROOT  ;  H और और CCP CC CCP k2 VGF  ;  U ;  NULL
ROOT  ;  H घटना घटना NP NN NP k2 VGNN  ;  U ;  NULL
ROOT  ;  H रोकने रोक VGNN VM VGNN rt VGF  ;  U ;  NULL
H कारगिल कारगिल NP NNP NP k5 VGNF ; H होकर हो VGNF VM VGNF vmod VGF ; R ; k5 
H शुरू शुरू NP NN NP2 pof VGNF ; H होकर हो VGNF VM VGNF vmod VGF ; R ; pof 
H होकर हो VGNF VM VGNF vmod VGF ; H फैल फैल VGF VM VGF NULL ROOT ; R ; vmod 
H तनाव तनाव NP NN NP3 k1 VGF ; H फैल फैल VGF VM VGF NULL ROOT ; R ; k1 
H लद्दाख लद्दाख NP NNP NP4 k7p VGF ; H फैल फैल VGF VM VGF NULL ROOT ; R ; k7p 
ROOT ; H फैल फैल VGF VM VGF NULL ROOT ; L ; ROOT 
H फैल फैल VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H कारगिल कारगिल NP NNP NP k5 VGNF  ;  H शुरू शुरू NP NN NP2 pof VGNF  ;  U ;  NULL
H होकर हो VGNF VM VGNF vmod VGF  ;  H तनाव तनाव NP NN NP3 k1 VGF  ;  U ;  NULL
H तनाव तनाव NP NN NP3 k1 VGF  ;  H लद्दाख लद्दाख NP NNP NP4 k7p VGF  ;  U ;  NULL
H शुरू शुरू NP NN NP2 pof VGNF  ;  H फैल फैल VGF VM VGF NULL ROOT  ;  U ;  NULL
H कारगिल कारगिल NP NNP NP k5 VGNF  ;  H फैल फैल VGF VM VGF NULL ROOT  ;  U ;  NULL
H लद्दाख लद्दाख NP NNP NP4 k7p VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H तनाव तनाव NP NN NP3 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कारगिल कारगिल NP NNP NP k5 VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H शुरू शुरू NP NN NP2 pof VGNF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H लद्दाख लद्दाख NP NNP NP4 k7p VGF  ;  U ;  NULL
ROOT  ;  H तनाव तनाव NP NN NP3 k1 VGF  ;  U ;  NULL
ROOT  ;  H कारगिल कारगिल NP NNP NP k5 VGNF  ;  U ;  NULL
ROOT  ;  H शुरू शुरू NP NN NP2 pof VGNF  ;  U ;  NULL
H प्रवक्ता प्रवक्ता NP NN NP k1 VGF ; H बताया बता VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H बताया बता VGF VM VGF NULL ROOT ; L ; ROOT 
H बताया बता VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H लेह लेह NP NNP NP2 k7p VGNN ; H रखने रख VGNN VM VGNN rt VGF2 ; R ; k7p 
H व्यवस्था व्यवस्था NP NN NP3 k2 VGNN ; H रखने रख VGNN VM VGNN rt VGF2 ; R ; k2 
H कायम कायम JJP JJ JJP pof VGNN ; H रखने रख VGNN VM VGNN rt VGF2 ; R ; pof 
H रखने रख VGNN VM VGNN rt VGF2 ; H मांगी मांग VGF VM VGF2 ccof CCP ; R ; rt 
H प्रशासन प्रशासन NP NN NP4 k1 VGF2 ; H मांगी मांग VGF VM VGF2 ccof CCP ; R ; k1 
H सेना सेना NP NN NP5 r6-k2 NP6 ; H सहायता सहायता NP NN NP6 pof VGF2 ; R ; r6-k2 
H सहायता सहायता NP NN NP6 pof VGF2 ; H मांगी मांग VGF VM VGF2 ccof CCP ; R ; pof 
H कि कि CCP CC CCP k2 VGF ; H मांगी मांग VGF VM VGF2 ccof CCP ; L ; ccof 
H बताया बता VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H लेह लेह NP NNP NP2 k7p VGNN  ;  H व्यवस्था व्यवस्था NP NN NP3 k2 VGNN  ;  U ;  NULL
H व्यवस्था व्यवस्था NP NN NP3 k2 VGNN  ;  H कायम कायम JJP JJ JJP pof VGNN  ;  U ;  NULL
H रखने रख VGNN VM VGNN rt VGF2  ;  H सहायता सहायता NP NN NP6 pof VGF2  ;  U ;  NULL
H रखने रख VGNN VM VGNN rt VGF2  ;  H प्रशासन प्रशासन NP NN NP4 k1 VGF2  ;  U ;  NULL
H प्रशासन प्रशासन NP NN NP4 k1 VGF2  ;  H सेना सेना NP NN NP5 r6-k2 NP6  ;  U ;  NULL
H लेह लेह NP NNP NP2 k7p VGNN  ;  H मांगी मांग VGF VM VGF2 ccof CCP  ;  U ;  NULL
H सेना सेना NP NN NP5 r6-k2 NP6  ;  H मांगी मांग VGF VM VGF2 ccof CCP  ;  U ;  NULL
H मांगी मांग VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सहायता सहायता NP NN NP6 pof VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H प्रवक्ता प्रवक्ता NP NN NP k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मांगी मांग VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H सहायता सहायता NP NN NP6 pof VGF2  ;  U ;  NULL
ROOT  ;  H प्रवक्ता प्रवक्ता NP NN NP k1 VGF  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k7t 
H सेना सेना NP NN NP2 k1 VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k1 
H दोपहर दोपहर NP NN NP3 k7t VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; k7t 
H मार्च मार्च NP NN NP4 pof VGF ; H किया कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H किया कर VGF VM VGF NULL ROOT ; L ; ROOT 
H किया कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H इसके यह NP PRP NP k7t VGF  ;  H मार्च मार्च NP NN NP4 pof VGF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF  ;  H सेना सेना NP NN NP2 k1 VGF  ;  U ;  NULL
H सेना सेना NP NN NP2 k1 VGF  ;  H दोपहर दोपहर NP NN NP3 k7t VGF  ;  U ;  NULL
H दोपहर दोपहर NP NN NP3 k7t VGF  ;  H मार्च मार्च NP NN NP4 pof VGF  ;  U ;  NULL
H मार्च मार्च NP NN NP4 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H दोपहर दोपहर NP NN NP3 k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H इसके यह NP PRP NP k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सेना सेना NP NN NP2 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H मार्च मार्च NP NN NP4 pof VGF  ;  U ;  NULL
ROOT  ;  H दोपहर दोपहर NP NN NP3 k7t VGF  ;  U ;  NULL
ROOT  ;  H इसके यह NP PRP NP k7t VGF  ;  U ;  NULL
ROOT  ;  H सेना सेना NP NN NP2 k1 VGF  ;  U ;  NULL
H सूचना सूचना NP NN NP k7a VGF ; H कर कर VGF VM VGF NULL ROOT ; R ; k7a 
H गुस्साई गुस्सा VGNF VM VGNF nmod__k1inv NP2 ; H भीड़ भीड़ NP NN NP2 k1 VGF ; R ; nmod__k1inv 
H भीड़ भीड़ NP NN NP2 k1 VGF ; H कर कर VGF VM VGF NULL ROOT ; R ; k1 
H कारगिल कारगिल NP NNP NP3 k7p VGF ; H कर कर VGF VM VGF NULL ROOT ; R ; k7p 
H घरों घर NP NN NP4 ccof CCP ; H और और CCP CC CCP k2 VGF ; R ; ccof 
H और और CCP CC CCP k2 VGF ; H कर कर VGF VM VGF NULL ROOT ; R ; k2 
H और और CCP CC CCP k2 VGF ; H वाहनों वाहन NP NN NP5 ccof CCP ; L ; ccof 
H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF ; H कर कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H कर कर VGF VM VGF NULL ROOT ; L ; ROOT 
H कर कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H सूचना सूचना NP NN NP k7a VGF  ;  H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  U ;  NULL
H सूचना सूचना NP NN NP k7a VGF  ;  H गुस्साई गुस्सा VGNF VM VGNF nmod__k1inv NP2  ;  U ;  NULL
H भीड़ भीड़ NP NN NP2 k1 VGF  ;  H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  U ;  NULL
H भीड़ भीड़ NP NN NP2 k1 VGF  ;  H कारगिल कारगिल NP NNP NP3 k7p VGF  ;  U ;  NULL
H कारगिल कारगिल NP NNP NP3 k7p VGF  ;  H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  U ;  NULL
H कारगिल कारगिल NP NNP NP3 k7p VGF  ;  H घरों घर NP NN NP4 ccof CCP  ;  U ;  NULL
H और और CCP CC CCP k2 VGF  ;  H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  U ;  NULL
H वाहनों वाहन NP NN NP5 ccof CCP  ;  H कर कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H घरों घर NP NN NP4 ccof CCP  ;  H कर कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H गुस्साई गुस्सा VGNF VM VGNF nmod__k1inv NP2  ;  H कर कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H वाहनों वाहन NP NN NP5 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H सूचना सूचना NP NN NP k7a VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H गुस्साई गुस्सा VGNF VM VGNF nmod__k1inv NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H क्षतिग्रस्त क्षतिग्रस्त JJP JJ JJP pof VGF  ;  U ;  NULL
ROOT  ;  H वाहनों वाहन NP NN NP5 ccof CCP  ;  U ;  NULL
ROOT  ;  H सूचना सूचना NP NN NP k7a VGF  ;  U ;  NULL
ROOT  ;  H गुस्साई गुस्सा VGNF VM VGNF nmod__k1inv NP2  ;  U ;  NULL
H कश्मीर कश्मीर NP NNP NP r6 NP2 ; H कमिश्नर कमिश्नर NP NN NP2 nmod NP3 ; R ; r6 
H कमिश्नर कमिश्नर NP NN NP2 nmod NP3 ; H डार डार NP NNP NP3 k1 VGF ; R ; nmod 
H डार डार NP NNP NP3 k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H स्थिति स्थिति NP NN NP4 k1 VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; k1 
H तरह तरह NP NN NP5 nmod NP6 ; H नियंत्रण नियंत्रण NP NN NP6 k7 VGF2 ; R ; nmod 
H नियंत्रण नियंत्रण NP NN NP6 k7 VGF2 ; H है है VGF VM VGF2 ccof CCP ; R ; k7 
H कि कि CCP CC CCP k2 VGF ; H है है VGF VM VGF2 ccof CCP ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H कमिश्नर कमिश्नर NP NN NP2 nmod NP3  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H कश्मीर कश्मीर NP NNP NP r6 NP2  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H स्थिति स्थिति NP NN NP4 k1 VGF2  ;  H तरह तरह NP NN NP5 nmod NP6  ;  U ;  NULL
H तरह तरह NP NN NP5 nmod NP6  ;  H है है VGF VM VGF2 ccof CCP  ;  U ;  NULL
H है है VGF VM VGF2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H नियंत्रण नियंत्रण NP NN NP6 k7 VGF2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कश्मीर कश्मीर NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H कमिश्नर कमिश्नर NP NN NP2 nmod NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H है है VGF VM VGF2 ccof CCP  ;  U ;  NULL
ROOT  ;  H नियंत्रण नियंत्रण NP NN NP6 k7 VGF2  ;  U ;  NULL
ROOT  ;  H कश्मीर कश्मीर NP NNP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H कमिश्नर कमिश्नर NP NN NP2 nmod NP3  ;  U ;  NULL
H समस्या समस्या NP NN NP k7 VGNN2 ; H किए कर VGNN VM VGNN2 k7t VGF ; R ; k7 
H मध्यस्थता मध्यस्थता NP NN NP2 pof VGNN ; H करने कर VGNN VM VGNN r6 NP3 ; R ; pof 
H करने कर VGNN VM VGNN r6 NP3 ; H अनुरोध अनुरोध NP NN NP3 k2 VGNN2 ; R ; r6 
H अनुरोध अनुरोध NP NN NP3 k2 VGNN2 ; H किए कर VGNN VM VGNN2 k7t VGF ; R ; k2 
H अमेरिका अमेरिका NP NNP NP4 rd VGNN2 ; H किए कर VGNN VM VGNN2 k7t VGF ; R ; rd 
H रूप रूप NP NN NP5 vmod VGNN2 ; H किए कर VGNN VM VGNN2 k7t VGF ; R ; vmod 
H खारिज खारिज JJP JJ JJP pof VGNN2 ; H किए कर VGNN VM VGNN2 k7t VGF ; R ; pof 
H किए कर VGNN VM VGNN2 k7t VGF ; H की कर VGF VM VGF NULL ROOT ; R ; k7t 
H पाकिस्तान पाकिस्तान NP NNP NP6 k1 VGF ; H की कर VGF VM VGF NULL ROOT ; R ; k1 
H बृहस्पतिवार बृहस्पतिवार NP NNP NP7 k7t VGF ; H की कर VGF VM VGF NULL ROOT ; R ; k7t 
H इसके यह NP PRP NP8 r6 NP9 ; H रुख रुख NP NN NP9 k7 VGF ; R ; r6 
H रुख रुख NP NN NP9 k7 VGF ; H की कर VGF VM VGF NULL ROOT ; R ; k7 
H बदलाव बदलाव NP NN NP10 r6-k2 NP11 ; H घोषणा घोषणा NP NN NP11 pof VGF ; R ; r6-k2 
H घोषणा घोषणा NP NN NP11 pof VGF ; H की कर VGF VM VGF NULL ROOT ; R ; pof 
ROOT ; H की कर VGF VM VGF NULL ROOT ; L ; ROOT 
H की कर VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H समस्या समस्या NP NN NP k7 VGNN2  ;  H खारिज खारिज JJP JJ JJP pof VGNN2  ;  U ;  NULL
H समस्या समस्या NP NN NP k7 VGNN2  ;  H मध्यस्थता मध्यस्थता NP NN NP2 pof VGNN  ;  U ;  NULL
H अनुरोध अनुरोध NP NN NP3 k2 VGNN2  ;  H खारिज खारिज JJP JJ JJP pof VGNN2  ;  U ;  NULL
H अनुरोध अनुरोध NP NN NP3 k2 VGNN2  ;  H अमेरिका अमेरिका NP NNP NP4 rd VGNN2  ;  U ;  NULL
H अमेरिका अमेरिका NP NNP NP4 rd VGNN2  ;  H रूप रूप NP NN NP5 vmod VGNN2  ;  U ;  NULL
H रूप रूप NP NN NP5 vmod VGNN2  ;  H खारिज खारिज JJP JJ JJP pof VGNN2  ;  U ;  NULL
H किए कर VGNN VM VGNN2 k7t VGF  ;  H घोषणा घोषणा NP NN NP11 pof VGF  ;  U ;  NULL
H किए कर VGNN VM VGNN2 k7t VGF  ;  H पाकिस्तान पाकिस्तान NP NNP NP6 k1 VGF  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP6 k1 VGF  ;  H घोषणा घोषणा NP NN NP11 pof VGF  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP6 k1 VGF  ;  H बृहस्पतिवार बृहस्पतिवार NP NNP NP7 k7t VGF  ;  U ;  NULL
H बृहस्पतिवार बृहस्पतिवार NP NNP NP7 k7t VGF  ;  H घोषणा घोषणा NP NN NP11 pof VGF  ;  U ;  NULL
H बृहस्पतिवार बृहस्पतिवार NP NNP NP7 k7t VGF  ;  H इसके यह NP PRP NP8 r6 NP9  ;  U ;  NULL
H रुख रुख NP NN NP9 k7 VGF  ;  H बदलाव बदलाव NP NN NP10 r6-k2 NP11  ;  U ;  NULL
H बदलाव बदलाव NP NN NP10 r6-k2 NP11  ;  H की कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H इसके यह NP PRP NP8 r6 NP9  ;  H की कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H समस्या समस्या NP NN NP k7 VGNN2  ;  H की कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H मध्यस्थता मध्यस्थता NP NN NP2 pof VGNN  ;  H की कर VGF VM VGF NULL ROOT  ;  U ;  NULL
H घोषणा घोषणा NP NN NP11 pof VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H बदलाव बदलाव NP NN NP10 r6-k2 NP11  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H समस्या समस्या NP NN NP k7 VGNN2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मध्यस्थता मध्यस्थता NP NN NP2 pof VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H घोषणा घोषणा NP NN NP11 pof VGF  ;  U ;  NULL
ROOT  ;  H बदलाव बदलाव NP NN NP10 r6-k2 NP11  ;  U ;  NULL
ROOT  ;  H समस्या समस्या NP NN NP k7 VGNN2  ;  U ;  NULL
ROOT  ;  H मध्यस्थता मध्यस्थता NP NN NP2 pof VGNN  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP r6 NP2 ; H राष्ट्रपति राष्ट्रपति NP NNP NP2 nmod NP3 ; R ; r6 
H राष्ट्रपति राष्ट्रपति NP NNP NP2 nmod NP3 ; H मुशर्रफ मुशर्रफ NP NNP NP3 k1 VGF ; R ; nmod 
H मुशर्रफ मुशर्रफ NP NNP NP3 k1 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H कहा कह VGF VM VGF NULL ROOT ; L ; ROOT 
H कहा कह VGF VM VGF NULL ROOT ; H कि कि CCP CC CCP k2 VGF ; L ; k2 
H समस्या समस्या NP NN NP4 k1 VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k1 
H मसला मसला NP NN NP5 k1s VGF2 ; H है है VGF VM VGF2 ccof CCP2 ; R ; k1s 
H है है VGF VM VGF2 ccof CCP2 ; H और और CCP CC CCP2 ccof CCP ; R ; ccof 
H कि कि CCP CC CCP k2 VGF ; H और और CCP CC CCP2 ccof CCP ; L ; ccof 
H वह वह NP PRP NP6 k1 VGF3 ; H चाहते चाह VGF VM VGF3 ccof CCP2 ; R ; k1 
H इसे यह NP PRP NP7 k2 VGNN ; H बनाना बना VGNN VM VGNN k2 VGF3 ; R ; k2 
H त्रिपक्षीय त्रिपक्षीय JJP JJ JJP ccof CCP3 ; H या या CCP CC CCP3 nmod NP8 ; R ; ccof 
H या या CCP CC CCP3 nmod NP8 ; H मसला मसला NP NN NP8 k2s VGNN ; R ; nmod 
H या या CCP CC CCP3 nmod NP8 ; H बहुपक्षीय बहुपक्षीय JJP JJ JJP2 ccof CCP3 ; L ; ccof 
H मसला मसला NP NN NP8 k2s VGNN ; H बनाना बना VGNN VM VGNN k2 VGF3 ; R ; k2s 
H बनाना बना VGNN VM VGNN k2 VGF3 ; H चाहते चाह VGF VM VGF3 ccof CCP2 ; R ; k2 
H और और CCP CC CCP2 ccof CCP ; H चाहते चाह VGF VM VGF3 ccof CCP2 ; L ; ccof 
H कहा कह VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H राष्ट्रपति राष्ट्रपति NP NNP NP2 nmod NP3  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP r6 NP2  ;  H कहा कह VGF VM VGF NULL ROOT  ;  U ;  NULL
H समस्या समस्या NP NN NP4 k1 VGF2  ;  H मसला मसला NP NN NP5 k1s VGF2  ;  U ;  NULL
H समस्या समस्या NP NN NP4 k1 VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H मसला मसला NP NN NP5 k1s VGF2  ;  H और और CCP CC CCP2 ccof CCP  ;  U ;  NULL
H वह वह NP PRP NP6 k1 VGF3  ;  H बनाना बना VGNN VM VGNN k2 VGF3  ;  U ;  NULL
H वह वह NP PRP NP6 k1 VGF3  ;  H इसे यह NP PRP NP7 k2 VGNN  ;  U ;  NULL
H इसे यह NP PRP NP7 k2 VGNN  ;  H मसला मसला NP NN NP8 k2s VGNN  ;  U ;  NULL
H इसे यह NP PRP NP7 k2 VGNN  ;  H त्रिपक्षीय त्रिपक्षीय JJP JJ JJP ccof CCP3  ;  U ;  NULL
H मसला मसला NP NN NP8 k2s VGNN  ;  H चाहते चाह VGF VM VGF3 ccof CCP2  ;  U ;  NULL
H बहुपक्षीय बहुपक्षीय JJP JJ JJP2 ccof CCP3  ;  H चाहते चाह VGF VM VGF3 ccof CCP2  ;  U ;  NULL
H चाहते चाह VGF VM VGF3 ccof CCP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H बनाना बना VGNN VM VGNN k2 VGF3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H पाकिस्तान पाकिस्तान NP NNP NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H राष्ट्रपति राष्ट्रपति NP NNP NP2 nmod NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H चाहते चाह VGF VM VGF3 ccof CCP2  ;  U ;  NULL
ROOT  ;  H बनाना बना VGNN VM VGNN k2 VGF3  ;  U ;  NULL
ROOT  ;  H पाकिस्तान पाकिस्तान NP NNP NP r6 NP2  ;  U ;  NULL
ROOT  ;  H राष्ट्रपति राष्ट्रपति NP NNP NP2 nmod NP3  ;  U ;  NULL
H चैनल चैनल NP NN NP k4 VGNF ; H दिए दे VGNF VM VGNF nmod__k2inv NP2 ; R ; k4 
H दिए दे VGNF VM VGNF nmod__k2inv NP2 ; H इंटरव्यू इंटरव्यू NP NN NP2 k7 VGF ; R ; nmod__k2inv 
H इंटरव्यू इंटरव्यू NP NN NP2 k7 VGF ; H कहा कह VGF VM VGF NULL ROOT ; R ; k7 
