H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H समझा समझ VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H उद्देश्य उद्देश्य NP NN NP3 rt VGF2 से  ;  H हमला हमला NP NN NP6 pof VGF2 NULL  ;  U ;  NULL
H उद्देश्य उद्देश्य NP NN NP3 rt VGF2 से  ;  H नक्सलियों नक्सली NP NN NP4 k1 VGF2 ने  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP4 k1 VGF2 ने  ;  H डिपो डिपो NP NN NP5 k7p VGF2 पर  ;  U ;  NULL
H डिपो डिपो NP NN NP5 k7p VGF2 पर  ;  H हमला हमला NP NN NP6 pof VGF2 NULL  ;  U ;  NULL
H सामग्री सामग्री NP NN NP ccof CCP2 NULL  ;  H किया कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H लूटने लूट VGNN VM VGNN r6 NP3 के  ;  H किया कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
H किया कर VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हमला हमला NP NN NP6 pof VGF2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कि कि CCP CC CCP k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सामग्री सामग्री NP NN NP ccof CCP2 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H किया कर VGF VM VGF2 ccof CCP NULL  ;  U ;  NULL
ROOT  ;  H हमला हमला NP NN NP6 pof VGF2 NULL  ;  U ;  NULL
ROOT  ;  H कि कि CCP CC CCP k2 VGF NULL  ;  U ;  NULL
ROOT  ;  H सामग्री सामग्री NP NN NP ccof CCP2 NULL  ;  U ;  NULL
H इसके यह NP PRP NP vmod VGF चलते ; H आई आ VGF VM VGF NULL ROOT NULL ; R ; vmod 
H अंधेरे अँधेरा NP NN NP2 k7 VGF में ; H आई आ VGF VM VGF NULL ROOT NULL ; R ; k7 
H कार्य कार्य NP NN NP3 k7 VGF में ; H आई आ VGF VM VGF NULL ROOT NULL ; R ; k7 
H बाधा बाधा NP NN NP4 k1 VGF NULL ; H आई आ VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H आई आ VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H आई आ VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H इसके यह NP PRP NP vmod VGF चलते  ;  H बाधा बाधा NP NN NP4 k1 VGF NULL  ;  U ;  NULL
H इसके यह NP PRP NP vmod VGF चलते  ;  H अंधेरे अँधेरा NP NN NP2 k7 VGF में  ;  U ;  NULL
H अंधेरे अँधेरा NP NN NP2 k7 VGF में  ;  H कार्य कार्य NP NN NP3 k7 VGF में  ;  U ;  NULL
H कार्य कार्य NP NN NP3 k7 VGF में  ;  H बाधा बाधा NP NN NP4 k1 VGF NULL  ;  U ;  NULL
H बाधा बाधा NP NN NP4 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H कार्य कार्य NP NN NP3 k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H इसके यह NP PRP NP vmod VGF चलते  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अंधेरे अँधेरा NP NN NP2 k7 VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H बाधा बाधा NP NN NP4 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H कार्य कार्य NP NN NP3 k7 VGF में  ;  U ;  NULL
ROOT  ;  H इसके यह NP PRP NP vmod VGF चलते  ;  U ;  NULL
ROOT  ;  H अंधेरे अँधेरा NP NN NP2 k7 VGF में  ;  U ;  NULL
H हमले हमला NP NN NP r6 NP2 के ; H घंटे घंटा NP NN NP2 k7t VGF NULL ; R ; r6 
H घंटे घंटा NP NN NP2 k7t VGF NULL ; H पहुंच पहुंच VGF VM VGF NULL ROOT NULL ; R ; k7t 
H पुलिस पुलिस NP NN NP3 k1 VGF NULL ; H पहुंच पहुंच VGF VM VGF NULL ROOT NULL ; R ; k1 
H घटनास्थल घटनास्थल NP NN NP4 k7p VGF पर ; H पहुंच पहुंच VGF VM VGF NULL ROOT NULL ; R ; k7p 
ROOT ; H पहुंच पहुंच VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H पहुंच पहुंच VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H घंटे घंटा NP NN NP2 k7t VGF NULL  ;  H पुलिस पुलिस NP NN NP3 k1 VGF NULL  ;  U ;  NULL
H पुलिस पुलिस NP NN NP3 k1 VGF NULL  ;  H घटनास्थल घटनास्थल NP NN NP4 k7p VGF पर  ;  U ;  NULL
H हमले हमला NP NN NP r6 NP2 के  ;  H पहुंच पहुंच VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H घटनास्थल घटनास्थल NP NN NP4 k7p VGF पर  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H पुलिस पुलिस NP NN NP3 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हमले हमला NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H घंटे घंटा NP NN NP2 k7t VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H घटनास्थल घटनास्थल NP NN NP4 k7p VGF पर  ;  U ;  NULL
ROOT  ;  H पुलिस पुलिस NP NN NP3 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H हमले हमला NP NN NP r6 NP2 के  ;  U ;  NULL
ROOT  ;  H घंटे घंटा NP NN NP2 k7t VGF NULL  ;  U ;  NULL
H पुलिस पुलिस NP NN NP k7a VGF के ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k7a 
H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के ; H जवानों जवान NP NN NP3 r6-k2 NP4 की ; R ; r6 
H मारे मार VGNF VM VGNF nmod__k1inv NP3 NULL ; H जवानों जवान NP NN NP3 r6-k2 NP4 की ; R ; nmod__k1inv 
H जवानों जवान NP NN NP3 r6-k2 NP4 की ; H पहचान पहचान NP NN NP4 pof VGF NULL ; R ; r6-k2 
H पहचान पहचान NP NN NP4 pof VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H कर कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कर कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H पुलिस पुलिस NP NN NP k7a VGF के  ;  H पहचान पहचान NP NN NP4 pof VGF NULL  ;  U ;  NULL
H पुलिस पुलिस NP NN NP k7a VGF के  ;  H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के  ;  H मारे मार VGNF VM VGNF nmod__k1inv NP3 NULL  ;  U ;  NULL
H जवानों जवान NP NN NP3 r6-k2 NP4 की  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मारे मार VGNF VM VGNF nmod__k1inv NP3 NULL  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H पहचान पहचान NP NN NP4 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H जवानों जवान NP NN NP3 r6-k2 NP4 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H पुलिस पुलिस NP NN NP k7a VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H पहचान पहचान NP NN NP4 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H जवानों जवान NP NN NP3 r6-k2 NP4 की  ;  U ;  NULL
ROOT  ;  H पुलिस पुलिस NP NN NP k7a VGF के  ;  U ;  NULL
ROOT  ;  H सीआईएसएफ सीआईएसएफ NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H जवान जवान NP NN NP k1 VGF NULL ; H थे था VGF VM VGF NULL ROOT NULL ; R ; k1 
H बिहार बिहार NP NNP NP2 ccof CCP NULL ; H व व CCP CC CCP r6 VGNN NULL ; R ; ccof 
H कर्नाटक कर्नाटक NP NNP NP3 ccof CCP NULL ; H व व CCP CC CCP r6 VGNN NULL ; R ; ccof 
H छत्तीसगढ़ छत्तीसगढ़ NP NNP NP4 ccof CCP NULL ; H व व CCP CC CCP r6 VGNN NULL ; R ; ccof 
H मध्यप्रदेश मध्यप्रदेश NP NNP NP5 ccof CCP NULL ; H व व CCP CC CCP r6 VGNN NULL ; R ; ccof 
H व व CCP CC CCP r6 VGNN NULL ; H रहने रह VGNN VM VGNN k1s VGF वाले ; R ; r6 
H व व CCP CC CCP r6 VGNN NULL ; H महाराष्ट्र महाराष्ट्र NP NNP NP6 ccof CCP के ; L ; ccof 
H रहने रह VGNN VM VGNN k1s VGF वाले ; H थे था VGF VM VGF NULL ROOT NULL ; R ; k1s 
ROOT ; H थे था VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H थे था VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H जवान जवान NP NN NP k1 VGF NULL  ;  H रहने रह VGNN VM VGNN k1s VGF वाले  ;  U ;  NULL
H जवान जवान NP NN NP k1 VGF NULL  ;  H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  H मध्यप्रदेश मध्यप्रदेश NP NNP NP5 ccof CCP NULL  ;  U ;  NULL
H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  H कर्नाटक कर्नाटक NP NNP NP3 ccof CCP NULL  ;  U ;  NULL
H कर्नाटक कर्नाटक NP NNP NP3 ccof CCP NULL  ;  H छत्तीसगढ़ छत्तीसगढ़ NP NNP NP4 ccof CCP NULL  ;  U ;  NULL
H छत्तीसगढ़ छत्तीसगढ़ NP NNP NP4 ccof CCP NULL  ;  H मध्यप्रदेश मध्यप्रदेश NP NNP NP5 ccof CCP NULL  ;  U ;  NULL
H महाराष्ट्र महाराष्ट्र NP NNP NP6 ccof CCP के  ;  H थे था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H व व CCP CC CCP r6 VGNN NULL  ;  H थे था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  H थे था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H कर्नाटक कर्नाटक NP NNP NP3 ccof CCP NULL  ;  H थे था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H रहने रह VGNN VM VGNN k1s VGF वाले  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H महाराष्ट्र महाराष्ट्र NP NNP NP6 ccof CCP के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H जवान जवान NP NN NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H रहने रह VGNN VM VGNN k1s VGF वाले  ;  U ;  NULL
ROOT  ;  H महाराष्ट्र महाराष्ट्र NP NNP NP6 ccof CCP के  ;  U ;  NULL
ROOT  ;  H जवान जवान NP NN NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H बिहार बिहार NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H बीच बीच NP NST NP k7t VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k7t 
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H जिले जिला NP NN NP3 k7p VGF में ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; k7p 
H थाने थाना NP NN NP4 k7a VGNF के ; H कर कर VGNF VM VGNF vmod VGF NULL ; R ; k7a 
H गांव गाँव NP NN NP5 k7p VGNF में ; H कर कर VGNF VM VGNF vmod VGF NULL ; R ; k7p 
H हमला हमला NP NN NP6 pof VGNF NULL ; H कर कर VGNF VM VGNF vmod VGF NULL ; R ; pof 
H कर कर VGNF VM VGNF vmod VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; vmod 
H जुदुम जुदुम NP NNP NP7 k7p VGNN में ; H लेने ले VGNN VM VGNN nmod NP10 वाले ; R ; k7p 
H रूप रूप NP NN NP8 adv VGNN से ; H लेने ले VGNN VM VGNN nmod NP10 वाले ; R ; adv 
H भाग भाग NP NN NP9 pof VGNN NULL ; H लेने ले VGNN VM VGNN nmod NP10 वाले ; R ; pof 
H लेने ले VGNN VM VGNN nmod NP10 वाले ; H लोगों लोग NP NN NP10 r6-k2 NP11 की ; R ; nmod 
H लोगों लोग NP NN NP10 r6-k2 NP11 की ; H हत्या हत्या NP NN NP11 pof VGF NULL ; R ; r6-k2 
H हत्या हत्या NP NN NP11 pof VGF NULL ; H कर कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H कर कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H कर कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H बीच बीच NP NST NP k7t VGF NULL  ;  H हत्या हत्या NP NN NP11 pof VGF NULL  ;  U ;  NULL
H बीच बीच NP NST NP k7t VGF NULL  ;  H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H हत्या हत्या NP NN NP11 pof VGF NULL  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H जिले जिला NP NN NP3 k7p VGF में  ;  U ;  NULL
H जिले जिला NP NN NP3 k7p VGF में  ;  H हत्या हत्या NP NN NP11 pof VGF NULL  ;  U ;  NULL
H जिले जिला NP NN NP3 k7p VGF में  ;  H थाने थाना NP NN NP4 k7a VGNF के  ;  U ;  NULL
H थाने थाना NP NN NP4 k7a VGNF के  ;  H गांव गाँव NP NN NP5 k7p VGNF में  ;  U ;  NULL
H गांव गाँव NP NN NP5 k7p VGNF में  ;  H हमला हमला NP NN NP6 pof VGNF NULL  ;  U ;  NULL
H कर कर VGNF VM VGNF vmod VGF NULL  ;  H हत्या हत्या NP NN NP11 pof VGF NULL  ;  U ;  NULL
H कर कर VGNF VM VGNF vmod VGF NULL  ;  H जुदुम जुदुम NP NNP NP7 k7p VGNN में  ;  U ;  NULL
H जुदुम जुदुम NP NNP NP7 k7p VGNN में  ;  H रूप रूप NP NN NP8 adv VGNN से  ;  U ;  NULL
H रूप रूप NP NN NP8 adv VGNN से  ;  H भाग भाग NP NN NP9 pof VGNN NULL  ;  U ;  NULL
H लोगों लोग NP NN NP10 r6-k2 NP11 की  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H लेने ले VGNN VM VGNN nmod NP10 वाले  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H थाने थाना NP NN NP4 k7a VGNF के  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H गांव गाँव NP NN NP5 k7p VGNF में  ;  H कर कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H हत्या हत्या NP NN NP11 pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H लोगों लोग NP NN NP10 r6-k2 NP11 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बीच बीच NP NST NP k7t VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H हत्या हत्या NP NN NP11 pof VGF NULL  ;  U ;  NULL
ROOT  ;  H लोगों लोग NP NN NP10 r6-k2 NP11 की  ;  U ;  NULL
ROOT  ;  H बीच बीच NP NST NP k7t VGF NULL  ;  U ;  NULL
ROOT  ;  H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  U ;  NULL
H जुदुम जुदुम NP NNP NP k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
H हिंसा हिंसा NP NN NP2 vmod VGF के ; H है है VGF VM VGF NULL ROOT NULL ; R ; vmod 
H आदिवासियों आदिवासी NP NN NP3 r6 NP4 का ; H आंदोलन आंदोलन NP NN NP4 k1s VGF NULL ; R ; r6 
H आंदोलन आंदोलन NP NN NP4 k1s VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1s 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H जुदुम जुदुम NP NNP NP k1 VGF NULL  ;  H आंदोलन आंदोलन NP NN NP4 k1s VGF NULL  ;  U ;  NULL
H जुदुम जुदुम NP NNP NP k1 VGF NULL  ;  H हिंसा हिंसा NP NN NP2 vmod VGF के  ;  U ;  NULL
H हिंसा हिंसा NP NN NP2 vmod VGF के  ;  H आदिवासियों आदिवासी NP NN NP3 r6 NP4 का  ;  U ;  NULL
H आदिवासियों आदिवासी NP NN NP3 r6 NP4 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H आंदोलन आंदोलन NP NN NP4 k1s VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H आदिवासियों आदिवासी NP NN NP3 r6 NP4 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H जुदुम जुदुम NP NNP NP k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हिंसा हिंसा NP NN NP2 vmod VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H आंदोलन आंदोलन NP NN NP4 k1s VGF NULL  ;  U ;  NULL
ROOT  ;  H आदिवासियों आदिवासी NP NN NP3 r6 NP4 का  ;  U ;  NULL
ROOT  ;  H जुदुम जुदुम NP NNP NP k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H हिंसा हिंसा NP NN NP2 vmod VGF के  ;  U ;  NULL
H महीने महीना NP NN NP k7t VGF से ; H चला चला VGF VM VGF NULL ROOT NULL ; R ; k7t 
H बस्तर बस्तर NP NNP NP2 r6 NP3 के ; H लोग लोग NP NN NP3 k1 VGF NULL ; R ; r6 
H लोग लोग NP NN NP3 k1 VGF NULL ; H चला चला VGF VM VGF NULL ROOT NULL ; R ; k1 
H नक्सलियों नक्सली NP NN NP4 vmod VGF के ; H चला चला VGF VM VGF NULL ROOT NULL ; R ; vmod 
H अभियान अभियान NP NN NP5 k2 VGF NULL ; H चला चला VGF VM VGF NULL ROOT NULL ; R ; k2 
ROOT ; H चला चला VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H चला चला VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H महीने महीना NP NN NP k7t VGF से  ;  H अभियान अभियान NP NN NP5 k2 VGF NULL  ;  U ;  NULL
H महीने महीना NP NN NP k7t VGF से  ;  H बस्तर बस्तर NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H लोग लोग NP NN NP3 k1 VGF NULL  ;  H नक्सलियों नक्सली NP NN NP4 vmod VGF के  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP4 vmod VGF के  ;  H अभियान अभियान NP NN NP5 k2 VGF NULL  ;  U ;  NULL
H बस्तर बस्तर NP NNP NP2 r6 NP3 के  ;  H चला चला VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H अभियान अभियान NP NN NP5 k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP4 vmod VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H महीने महीना NP NN NP k7t VGF से  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बस्तर बस्तर NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H अभियान अभियान NP NN NP5 k2 VGF NULL  ;  U ;  NULL
ROOT  ;  H नक्सलियों नक्सली NP NN NP4 vmod VGF के  ;  U ;  NULL
ROOT  ;  H महीने महीना NP NN NP k7t VGF से  ;  U ;  NULL
ROOT  ;  H बस्तर बस्तर NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H हाल हाल NP NN NP r6 NP2 के ; H दिनों दिन NP NN NP2 k7t VGF में ; R ; r6 
H दिनों दिन NP NN NP2 k7t VGF में ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k7t 
H राज्य राज्य NP NN NP3 k7p VGF में ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k7p 
H हिंसा हिंसा NP NN NP4 k7 VGF में ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k7 
H बढ़ोतरी बढोतरी NP NN NP5 k2 VGF NULL ; H की कर VGF VM VGF NULL ROOT NULL ; R ; k2 
H दर्ज दर्ज JJP JJ JJP pof VGF NULL ; H की कर VGF VM VGF NULL ROOT NULL ; R ; pof 
ROOT ; H की कर VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H की कर VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H दिनों दिन NP NN NP2 k7t VGF में  ;  H दर्ज दर्ज JJP JJ JJP pof VGF NULL  ;  U ;  NULL
H दिनों दिन NP NN NP2 k7t VGF में  ;  H राज्य राज्य NP NN NP3 k7p VGF में  ;  U ;  NULL
H राज्य राज्य NP NN NP3 k7p VGF में  ;  H दर्ज दर्ज JJP JJ JJP pof VGF NULL  ;  U ;  NULL
H राज्य राज्य NP NN NP3 k7p VGF में  ;  H हिंसा हिंसा NP NN NP4 k7 VGF में  ;  U ;  NULL
H हिंसा हिंसा NP NN NP4 k7 VGF में  ;  H बढ़ोतरी बढोतरी NP NN NP5 k2 VGF NULL  ;  U ;  NULL
H बढ़ोतरी बढोतरी NP NN NP5 k2 VGF NULL  ;  H दर्ज दर्ज JJP JJ JJP pof VGF NULL  ;  U ;  NULL
H हाल हाल NP NN NP r6 NP2 के  ;  H की कर VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H दर्ज दर्ज JJP JJ JJP pof VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H बढ़ोतरी बढोतरी NP NN NP5 k2 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H हाल हाल NP NN NP r6 NP2 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H दिनों दिन NP NN NP2 k7t VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H दर्ज दर्ज JJP JJ JJP pof VGF NULL  ;  U ;  NULL
ROOT  ;  H बढ़ोतरी बढोतरी NP NN NP5 k2 VGF NULL  ;  U ;  NULL
ROOT  ;  H हाल हाल NP NN NP r6 NP2 के  ;  U ;  NULL
ROOT  ;  H दिनों दिन NP NN NP2 k7t VGF में  ;  U ;  NULL
H सोमवार सोमवार NP NNP NP k7t VGF को ; H कर कर VGF VM VGF ccof CCP NULL ; R ; k7t 
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने ; H कर कर VGF VM VGF ccof CCP NULL ; R ; k1 
H जिले जिला NP NN NP3 r6 NP4 के ; H क्षेत्र क्षेत्र NP NN NP4 k7p VGNF में ; R ; r6 
H क्षेत्र क्षेत्र NP NN NP4 k7p VGNF में ; H कर कर VGNF VM VGNF vmod VGF NULL ; R ; k7p 
H हमला हमला NP NN NP5 pof VGNF NULL ; H कर कर VGNF VM VGNF vmod VGF NULL ; R ; pof 
H कर कर VGNF VM VGNF vmod VGF NULL ; H कर कर VGF VM VGF ccof CCP NULL ; R ; vmod 
H बटालियन बटालियन NP NNP NP6 r6 NP7 के ; H जवानों जवान NP NN NP7 r6-k2 NP8 की ; R ; r6 
H जवानों जवान NP NN NP7 r6-k2 NP8 की ; H हत्या हत्या NP NN NP8 pof VGF NULL ; R ; r6-k2 
H हत्या हत्या NP NN NP8 pof VGF NULL ; H कर कर VGF VM VGF ccof CCP NULL ; R ; pof 
H कर कर VGF VM VGF ccof CCP NULL ; H और और CCP CC CCP NULL ROOT NULL ; R ; ccof 
ROOT ; H और और CCP CC CCP NULL ROOT NULL ; L ; ROOT 
H जवानों जवान NP NN NP9 k2 VGF2 को ; H कर कर VGF VM VGF2 ccof CCP NULL ; R ; k2 
H घायल घायल JJP JJ JJP pof VGF2 NULL ; H कर कर VGF VM VGF2 ccof CCP NULL ; R ; pof 
H और और CCP CC CCP NULL ROOT NULL ; H कर कर VGF VM VGF2 ccof CCP NULL ; L ; ccof 
H और और CCP CC CCP NULL ROOT NULL ; H । । BLK SYM BLK rsym CCP NULL ; L ; rsym 
H सोमवार सोमवार NP NNP NP k7t VGF को  ;  H हत्या हत्या NP NN NP8 pof VGF NULL  ;  U ;  NULL
H सोमवार सोमवार NP NNP NP k7t VGF को  ;  H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H हत्या हत्या NP NN NP8 pof VGF NULL  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H जिले जिला NP NN NP3 r6 NP4 के  ;  U ;  NULL
H क्षेत्र क्षेत्र NP NN NP4 k7p VGNF में  ;  H हमला हमला NP NN NP5 pof VGNF NULL  ;  U ;  NULL
H कर कर VGNF VM VGNF vmod VGF NULL  ;  H हत्या हत्या NP NN NP8 pof VGF NULL  ;  U ;  NULL
H कर कर VGNF VM VGNF vmod VGF NULL  ;  H बटालियन बटालियन NP NNP NP6 r6 NP7 के  ;  U ;  NULL
H हत्या हत्या NP NN NP8 pof VGF NULL  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H जवानों जवान NP NN NP7 r6-k2 NP8 की  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H सोमवार सोमवार NP NNP NP k7t VGF को  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H नक्सलियों नक्सली NP NN NP2 k1 VGF ने  ;  H और और CCP CC CCP NULL ROOT NULL  ;  U ;  NULL
H जवानों जवान NP NN NP9 k2 VGF2 को  ;  H घायल घायल JJP JJ JJP pof VGF2 NULL  ;  U ;  NULL
H कर कर VGF VM VGF2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
H घायल घायल JJP JJ JJP pof VGF2 NULL  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
H सोमवार सोमवार NP NNP NP k7t VGF को  ;  H । । BLK SYM BLK rsym CCP NULL  ;  U ;  NULL
